,Round,Pick,Player,Team
0,1,1.0,Juan Soto,¯\_(ツ)_/¯
1,1,2.0,Rafael Devers,$LZ to $15 $...
2,1,3.0,Fernando Tatis Jr.,Hooked On Kw...
3,1,4.0,Trea Turner,The Rosterba...
4,1,5.0,Vladimir Guerrero Jr.,#LagrastaWeek
5,1,6.0,Manny Machado,Grand Salami...
6,1,7.0,Corbin Burnes,Rickie Flower
7,1,8.0,Kyle Tucker,Ian Cumsler
8,1,9.0,Luis Robert,Former 2A Hi...
9,1,10.0,José Ramírez,Midas Well
10,1,11.0,Bo Bichette,SQUEEZE AGS
11,1,12.0,Mookie Betts,Dookie Butts
0,2,1.0,Francisco Lindor,Dookie Butts
1,2,2.0,Whit Merrifield,SQUEEZE AGS
2,2,3.0,Xander Bogaerts,Midas Well
3,2,4.0,Carlos Correa,Former 2A Hi...
4,2,5.0,Ronald Acuña Jr.,Ian Cumsler
5,2,6.0,Jacob deGrom,Rickie Flower
6,2,7.0,Marcus Semien,Grand Salami...
7,2,8.0,Yordan Alvarez,#LagrastaWeek
8,2,9.0,Freddie Freeman,The Rosterba...
9,2,10.0,Mike Trout,Hooked On Kw...
10,2,11.0,Nick Castellanos,$LZ to $15 $...
11,2,12.0,Shohei Ohtani,¯\_(ツ)_/¯
0,3,1.0,Bryce Harper,¯\_(ツ)_/¯
1,3,2.0,Gerrit Cole,$LZ to $15 $...
2,3,3.0,Max Scherzer,Hooked On Kw...
3,3,4.0,Ozzie Albies,The Rosterba...
4,3,5.0,Aaron Judge,#LagrastaWeek
5,3,6.0,Teoscar Hernández,Grand Salami...
6,3,7.0,Brandon Woodruff,Hooked On Kw...
7,3,8.0,Walker Buehler,Ian Cumsler
8,3,9.0,Matt Olson,Former 2A Hi...
9,3,10.0,Starling Marte,Midas Well
10,3,11.0,Shane Bieber,SQUEEZE AGS
11,3,12.0,Lucas Giolito,Dookie Butts
0,4,1.0,Cedric Mullins,Dookie Butts
1,4,2.0,Trevor Story,SQUEEZE AGS
2,4,3.0,Tim Anderson,Midas Well
3,4,4.0,Wander Franco,Former 2A Hi...
4,4,5.0,Julio Urías,Ian Cumsler
5,4,6.0,Aaron Nola,Hooked On Kw...
6,4,7.0,Tyler O'Neill,Grand Salami...
7,4,8.0,Jose Altuve,#LagrastaWeek
8,4,9.0,Eloy Jiménez,The Rosterba...
9,4,10.0,George Springer,Hooked On Kw...
10,4,11.0,Zack Wheeler,$LZ to $15 $...
11,4,12.0,Pete Alonso,¯\_(ツ)_/¯
0,5,1.0,Robbie Ray,¯\_(ツ)_/¯
1,5,2.0,Charlie Morton,$LZ to $15 $...
2,5,3.0,Kris Bryant,Hooked On Kw...
3,5,4.0,Randy Arozarena,The Rosterba...
4,5,5.0,Paul Goldschmidt,#LagrastaWeek
5,5,6.0,Freddy Peralta,Grand Salami...
6,5,7.0,Salvador Perez,Rickie Flower
7,5,8.0,Josh Hader,Ian Cumsler
8,5,9.0,Sandy Alcantara,Former 2A Hi...
9,5,10.0,Liam Hendriks,Midas Well
10,5,11.0,Austin Riley,SQUEEZE AGS
11,5,12.0,Byron Buxton,Dookie Butts
0,6,1.0,José Abreu,Dookie Butts
1,6,2.0,J.D. Martinez,SQUEEZE AGS
2,6,3.0,Nolan Arenado,Midas Well
3,6,4.0,Alex Bregman,Former 2A Hi...
4,6,5.0,Corey Seager,Ian Cumsler
5,6,6.0,Brandon Lowe,Midas Well
6,6,7.0,Jonathan India,Grand Salami...
7,6,8.0,Adalberto Mondesi,#LagrastaWeek
8,6,9.0,Kevin Gausman,The Rosterba...
9,6,10.0,Lance Lynn,SQUEEZE AGS
10,6,11.0,Giancarlo Stanton,SQUEEZE AGS
11,6,12.0,Trevor Rogers,¯\_(ツ)_/¯
0,7,1.0,Javier Báez,Former 2A Hi...
1,7,2.0,Carlos Rodón,Former 2A Hi...
2,7,3.0,Bryan Reynolds,Hooked On Kw...
3,7,4.0,Franmil Reyes,The Rosterba...
4,7,5.0,Joe Musgrove,SQUEEZE AGS
5,7,6.0,Dylan Cease,Grand Salami...
6,7,7.0,J.T. Realmuto,Rickie Flower
7,7,8.0,Will Smith,Ian Cumsler
8,7,9.0,José Berríos,Former 2A Hi...
9,7,10.0,Raisel Iglesias,Midas Well
10,7,11.0,Yu Darvish,SQUEEZE AGS
11,7,12.0,Anthony Rendon,Dookie Butts
0,8,1.0,Justin Verlander,Dookie Butts
1,8,2.0,Christian Yelich,SQUEEZE AGS
2,8,3.0,Emmanuel Clase,Midas Well
3,8,4.0,Aroldis Chapman,Former 2A Hi...
4,8,5.0,Ketel Marte,Ian Cumsler
5,8,6.0,Jazz Chisholm Jr.,Rickie Flower
6,8,7.0,Jared Walsh,Grand Salami...
