,Team,Player,ESPNID,GP,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,WAR,Overall_Pick,BLSV,ER,ERA,GS,HLD,IP,K,K/BB,L,SV,W,W%,WHIP,OPS_Weighted
0,,Bobby Abreu,3537.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
1,,Jose Abreu,33095.0,107.0,398.0,59.0,99.0,18.0,2.0,22.0,84.0,39.0,14.0,106.0,1.0,0.0,0.249,0.332,0.47,0.802,1.5,,,,,,,,,,,,,,,319.196
2,,Tony Abreu,28777.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
3,,Dustin Ackley,30372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
4,,Ronald Acuna,36185.0,82.0,297.0,72.0,84.0,19.0,1.0,24.0,52.0,49.0,9.0,85.0,17.0,6.0,0.283,0.394,0.596,0.99,3.5,,,,,,,,,,,,,,,294.03
5,,Cristhian Adames,31659.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
6,,Willy Adames,33675.0,41.0,132.0,16.0,26.0,6.0,1.0,5.0,15.0,10.0,0.0,51.0,1.0,2.0,0.197,0.254,0.371,0.625,0.6,,,,,,,,,,,,,,,82.5
7,,David Adams,30679.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
8,,Lane Adams,32911.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0
9,,Matt Adams,31359.0,22.0,36.0,3.0,6.0,1.0,0.0,0.0,2.0,4.0,0.0,9.0,0.0,0.0,0.167,0.25,0.194,0.444,-0.3,,,,,,,,,,,,,,,15.984
