,Round,Pick,Team,PLAYERNAME,FIRSTNAME,LASTNAME,POS,YAHOONAME,YAHOOID,MLBID,BREFID,ESPNID,IDFANGRAPHS,Overall_Pick
0,,,,David Aardsma,David,Aardsma,P,David Aardsma,7307.0,430911.0,aardsda01,5933.0,1902,
1,,,,Fernando Abad,Fernando,Abad,P,Fernando Abad,8767.0,472551.0,abadfe01,30417.0,4994,
2,,,,Cory Abbott,Cory,Abbott,P,,,676265.0,abbotco01,41328.0,sa3005305,
4,,,,Albert Abreu,Albert,Abreu,P,Albert Abreu,10546.0,656061.0,abreual01,36041.0,17485,
6,,,,Bryan Abreu,Bryan,Abreu,P,Bryan Abreu,11208.0,650556.0,abreubr01,41208.0,16609,
9,,,,Jeremy Accardo,Jeremy,Accardo,P,Jeremy Accardo,7534.0,435618.0,accarje01,6262.0,6428,
10,,,,Alfredo Aceves,Alfredo,Aceves,P,Alfredo Aceves,8336.0,469686.0,aceveal01,29223.0,5164,
11,,,,Domingo Acevedo,Domingo,Acevedo,P,Domingo Acevedo,10545.0,642758.0,acevedo01,35010.0,sa739716,
16,,,,Austin Adams,Austin,Adams,P,Austin L. Adams,10760.0,613534.0,adamsau02,31660.0,13801,
17,,,,Chance Adams,Chance,Adams,P,Chance Adams,10541.0,664856.0,adamsch01,36160.0,18135,
21,,,,Mike Adams,Mike,Adams,P,Mike Adams,7332.0,430606.0,adamsmi03,5969.0,1937,
22,,,,Spencer Adams,Spencer,Adams,P,Spencer Adams,10449.0,656181.0,adamssp03,33779.0,sa828687,
25,,,,Tim Adleman,Tim,Adleman,P,Tim Adleman,10282.0,534947.0,adlemti01,33962.0,10968,
27,,,,Jeremy Affeldt,Jeremy,Affeldt,P,Jeremy Affeldt,6883.0,346793.0,affelje01,5061.0,583,
28,,,,Dario Agrazal,Dario,Agrazal,P,Dario Agrazal,11185.0,642607.0,agrazda01,39813.0,15821,
31,,,,Brady Aiken,Brady,Aiken,P,Brady Aiken,10458.0,656184.0,aikenbr01,34953.0,sa828659,
33,,,,Keegan Akin,Keegan,Akin,P,,,669211.0,akinke01,36724.0,19362,
34,,,,Andrew Albers,Andrew,Albers,P,Andrew Albers,9480.0,452027.0,alberan01,32754.0,7853,
36,,,,Matt Albers,Matt,Albers,P,Matt Albers,7820.0,458006.0,alberma01,28525.0,4300,
38,,,,Al Alburquerque,Al,Alburquerque,P,Al Alburquerque,8843.0,456379.0,albural01,30494.0,6324,
39,,,,Jorge Alcala,Jorge,Alcala,P,,,660896.0,alcaljo01,41031.0,19459,
41,16.0,3.0,Midas Well,Sandy Alcantara,Sandy,Alcantara,P,Sandy Alcantara,10597.0,645261.0,alcansa01,35241.0,18684,159.0
42,,,,Victor Alcantara,Victor,Alcantara,P,Victor Alcantara,10187.0,622505.0,alcanvi01,33784.0,15028,
43,,,,Scott Alexander,Scott,Alexander,P,Scott Alexander,10072.0,518397.0,alexasc02,33123.0,10591,
44,,,,Tyler Alexander,Tyler,Alexander,P,Tyler Alexander,10469.0,641302.0,alexaty01,40360.0,17735,
47,,,,Kolby Allard,Kolby,Allard,P,Kolby Allard,10422.0,663465.0,allarko01,34980.0,18694,
49,,,,Cody Allen,Cody,Allen,P,Cody Allen,9243.0,592102.0,allenco01,32188.0,12183,
51,,,,Logan Allen,Logan,Allen,P,Logan Allen,10938.0,663531.0,allenlo01,35024.0,18555,
53,,,,Yency Almonte,Yency,Almonte,P,Yency Almonte,10871.0,622075.0,almonye01,36064.0,15068,
58,,,,Dan Altavilla,Dan,Altavilla,P,Dan Altavilla,10378.0,656186.0,altavda01,35222.0,16507,
61,,,,Henderson Alvarez,Henderson,Alvarez,P,Henderson Alvarez,9011.0,506693.0,alvarhe01,31047.0,5669,
62,,,,Jose Alvarez,Jose,Alvarez,P,Jose Alvarez,9429.0,501625.0,alvarjo01,32099.0,5358,
63,,,,Jose Alvarado,Jose,Alvarado,P,José Alvarado,10692.0,621237.0,alvarjo03,36063.0,17780,
65,,,,Yadier Alvarez,Yadier,Alvarez,P,Yadier Alvarez,10507.0,665751.0,alvarya01,34960.0,sa868984,
67,,,,Adbert Alzolay,Adbert,Alzolay,P,Adbert Alzolay,10858.0,640470.0,alzolad01,39802.0,17859,
69,,,,Hector Ambriz,Hector,Ambriz,P,Hector Ambriz,8697.0,459932.0,ambrihe01,29795.0,559,
70,,,,Brett Anderson,Brett,Anderson,P,Brett Anderson,8409.0,474463.0,anderbr04,30041.0,8223,
73,,,,Chase Anderson,Chase,Anderson,P,Chase Anderson,9698.0,502624.0,anderch01,32690.0,6895,
74,,,,Cody Anderson,Cody,Anderson,P,Cody Anderson,10004.0,594736.0,anderco01,33183.0,12799,
75,9.0,10.0,Midas Well,Ian Anderson,Ian,Anderson,P,Ian Anderson,10424.0,666120.0,anderia01,40916.0,19951,82.0
76,,,,Justin Anderson,Justin,Anderson,P,Justin Anderson,11002.0,605121.0,anderju01,37611.0,16201,
78,,,,Nick Anderson,Nick,Anderson,P,Nick Anderson,11113.0,623433.0,anderni01,38102.0,18337,
79,,,,Shaun Anderson,Shaun,Anderson,P,Shaun Anderson,11098.0,641312.0,andersh01,39681.0,19453,
81,,,,Tyler Anderson,Tyler,Anderson,P,Tyler Anderson,10031.0,542881.0,anderty01,32151.0,12880,
84,,,,Matt Andriese,Matt,Andriese,P,Matt Andriese,9904.0,542882.0,andrima01,32549.0,12022,
89,,,,Tejay Antone,Tejay,Antone,P,,,622088.0,antonte01,42355.0,16233,
91,,,,Mark Appel,Mark,Appel,P,Mark Appel,9576.0,571446.0,appelma01,33141.0,sa501726,
93,,,,Victor Arano,Victor,Arano,P,Victor Arano,10828.0,644364.0,aranovi01,36120.0,15915,
95,,,,Chris Archer,Chris,Archer,P,Chris Archer,8849.0,502042.0,archech01,31003.0,6345,
102,,,,Kohei Arihara,Kohei,Arihara,P,,,685503.0,,,27505,
103,,,,Rogelio Armenteros,Rogelio,Armenteros,P,Rogelio Armenteros,10884.0,660494.0,armenro01,36887.0,17679,
104,,,,Shawn Armstrong,Shawn,Armstrong,P,Shawn Armstrong,10047.0,542888.0,armstsh01,33499.0,12857,
107,,,,Jose Arredondo,Jose,Arredondo,P,Jose Arredondo,8231.0,461766.0,arredjo01,29113.0,4722,
108,,,,Jake Arrieta,Jake,Arrieta,P,Jake Arrieta,8623.0,453562.0,arrieja01,30145.0,4153,
109,,,,Bronson Arroyo,Bronson,Arroyo,P,Bronson Arroyo,6498.0,276520.0,arroybr01,4416.0,978,
113,,,,Alec Asher,Alec,Asher,P,Alec Asher,10063.0,594742.0,asheral01,33787.0,13560,
116,,,,Scott Atchison,Scott,Atchison,P,Scott Atchison,7391.0,425786.0,atchisc01,4755.0,2642,
118,,,,Phillippe Aumont,Phillippe,Aumont,P,Phillippe Aumont,8643.0,518418.0,aumonph01,29501.0,5362,
122,,,,Luis Avilan,Luis,Avilan,P,Luis Avilan,9233.0,501593.0,avilalu01,31465.0,2882,
124,,,,Dylan Axelrod,Dylan,Axelrod,P,Dylan Axelrod,9060.0,518420.0,axelrdy01,29727.0,9303,
125,,,,John Axford,John,Axford,P,John Axford,8583.0,446099.0,axforjo01,30378.0,9059,
126,,,,Luis Ayala,Luis,Ayala,P,Luis Ayala,7080.0,425646.0,ayalalu01,5389.0,1650,
129,,,,Burke Badenhop,Burke,Badenhop,P,Burke Badenhop,8215.0,488674.0,badenbu01,29090.0,9736,
132,,,,Michel Baez,Michel,Baez,P,Michel Baez,10939.0,673258.0,baezmi01,36102.0,20100,
133,,,,Pedro Baez,Pedro,Baez,P,Pedro Báez,9695.0,520980.0,baezpe01,30694.0,5420,
134,,,,Andrew Bailey,Andrew,Bailey,P,Andrew Bailey,8440.0,457732.0,bailean01,30096.0,1368,
135,,,,Brandon Bailey,Brandon,Bailey,P,Brandon Bailey,11711.0,669064.0,bailebr01,36538.0,19582,
136,,,,Homer Bailey,Homer,Bailey,P,Homer Bailey,7944.0,456701.0,baileho02,28668.0,8362,
139,,,,Scott Baker,Scott,Baker,P,Scott Baker,7533.0,435044.0,bakersc02,6261.0,6176,
140,,,,Jordan Balazovic,Jordan,Balazovic,P,,,666364.0,balazjo01,41190.0,sa918017,
141,,,,Collin Balester,Collin,Balester,P,Collin Balester,8184.0,444446.0,balesco01,28967.0,6883,
142,,,,Grant Balfour,Grant,Balfour,P,Grant Balfour,6765.0,346797.0,balfogr01,4811.0,718,
143,,,,Anthony Banda,Anthony,Banda,P,Anthony Banda,10413.0,607455.0,bandaan01,34542.0,14706,
145,,,,Manny Banuelos,Manny,Banuelos,P,Manny Bañuelos,8865.0,544365.0,banuema01,31123.0,5365,
147,20.0,12.0,Yelich My Balls,Daniel Bard,Daniel,Bard,P,Daniel Bard,8470.0,453268.0,bardda01,30158.0,7115,216.0
148,,,,Luke Bard,Luke,Bard,P,Luke Bard,,572703.0,bardlu01,38317.0,14288,
149,,,,Joe Barlow,Joe,Barlow,P,,,669618.0,barlojo01,41741.0,22296,
150,,,,Scott Barlow,Scott,Barlow,P,Scott Barlow,10998.0,605130.0,barlosc01,32156.0,14993,
155,,,,Danny Barnes,Danny,Barnes,P,Danny Barnes,10359.0,592130.0,barneda02,32499.0,11388,
156,,,,Jacob Barnes,Jacob,Barnes,P,Jacob Barnes,10313.0,606930.0,barneja01,34868.0,12323,
157,16.0,12.0,Yelich My Balls,Matt Barnes,Matt,Barnes,P,Matt Barnes,9333.0,598264.0,barnema01,32147.0,12863,168.0
158,,,,Scott Barnes,Scott,Barnes,P,Scott Barnes,9199.0,488683.0,barnesc01,30789.0,8718,
159,,,,Tony Barnette,Tony,Barnette,P,Tony Barnette,10102.0,501817.0,barneto01,30181.0,3555,
161,,,,Kyle Barraclough,Kyle,Barraclough,P,Kyle Barraclough,10045.0,607457.0,barraky01,34830.0,13713,
162,,,,Aaron Barrett,Aaron,Barrett,P,Aaron Barrett,9650.0,502578.0,barreaa01,33005.0,11243,
164,,,,Jake Barrett,Jake,Barrett,P,Jake Barrett,10113.0,545332.0,barreja01,33120.0,13322,
165,,,,Jaime Barria,Jaime,Barria,P,Jaime Barria,10501.0,642545.0,barrija01,34956.0,18356,
169,17.0,9.0,OGsecondHand,Anthony Bass,Anthony,Bass,P,Anthony Bass,8965.0,542914.0,bassan01,31144.0,7982,177.0
170,22.0,6.0,Kershaw?2,Chris Bassitt,Chris,Bassitt,P,Chris Bassitt,9799.0,605135.0,bassich01,33148.0,12304,234.0
171,,,,Antonio Bastardo,Antonio,Bastardo,P,Antonio Bastardo,8503.0,455374.0,bastaan01,30105.0,8844,
172,,,,Miguel Batista,Miguel,Batista,P,Miguel Batista,,110683.0,batismi01,2657.0,46,
174,,,,Trevor Bauer,Trevor,Bauer,P,Trevor Bauer,9122.0,545333.0,bauertr01,32014.0,12703,
179,,,,Shane Baz,Shane,Baz,P,,,669358.0,bazsh01,39639.0,sa3004765,
180,,,,Brandon Beachy,Brandon,Beachy,P,Brandon Beachy,8837.0,545404.0,beachbr01,30962.0,8851,
182,,,,Blake Beavan,Blake,Beavan,P,Blake Beavan,8981.0,518444.0,beavabl01,31018.0,338,
183,,,,Chad Beck,Chad,Beck,P,Chad Beck,9071.0,444447.0,beckch01,32027.0,9258,
184,,,,Chris Beck,Chris,Beck,P,Chris Beck,9963.0,571476.0,beckch02,32826.0,13418,
185,,,,Josh Beckett,Josh,Beckett,P,Josh Beckett,6403.0,277417.0,beckejo02,4242.0,510,
188,,,,Erik Bedard,Erik,Bedard,P,Erik Bedard,6910.0,407853.0,bedarer01,5099.0,126,
189,,,,David Bednar,David,Bednar,P,,,670280.0,bednada01,38303.0,19569,
190,,,,Cam Bedrosian,Cam,Bedrosian,P,Cam Bedrosian,9722.0,592135.0,bedroca01,31716.0,13360,
191,,,,Tyler Beede,Tyler,Beede,P,Tyler Beede,10212.0,595881.0,beedety01,33798.0,16981,
192,,,,Jalen Beeks,Jalen,Beeks,P,Jalen Beeks,10850.0,656222.0,beeksja02,36723.0,17192,
193,,,,Dallas Beeler,Dallas,Beeler,P,Dallas Beeler,9749.0,542923.0,beeleda01,33099.0,11471,
195,,,,Matt Belisle,Matt,Belisle,P,Matt Belisle,7240.0,279571.0,belisma01,5829.0,1837,
196,,,,Ronald Belisario,Ronald,Belisario,P,Ronald Belisario,8442.0,430613.0,belisro01,29680.0,2203,
197,,,,Jeff Beliveau,Jeff,Beliveau,P,Jeff Beliveau,9246.0,542924.0,belivje01,32037.0,8504,
198,,,,Chad Bell,Chad,Bell,P,Chad Bell,10690.0,518445.0,bellch02,32876.0,10297,
199,,,,Heath Bell,Heath,Bell,P,Heath Bell,7418.0,425514.0,bellhe01,6084.0,2080,
202,,,,Duane Below,Duane,Below,P,Duane Below,8993.0,502102.0,belowdu01,3132.0,3124,
208,,,,Joaquin Benoit,Joaquin,Benoit,P,Joaquin Benoit,6659.0,276542.0,benoijo01,4588.0,1437,
210,,,,Christian Bergman,Christian,Bergman,P,Christian Bergman,9728.0,548357.0,bergmch01,33270.0,10925,
213,11.0,1.0,Yelich My Balls,Jose Berrios,Jose,Berrios,P,José Berríos,9872.0,621244.0,berrijo01,32811.0,14168,97.0
216,,,,Dellin Betances,Dellin,Betances,P,Dellin Betances,9063.0,476454.0,betande01,31122.0,6216,
217,,,,Rafael Betancourt,Rafael,Betancourt,P,Rafael Betancourt,6146.0,429783.0,betanra01,3985.0,177,
220,,,,Christian Bethancourt,Christian,Bethancourt,P,Christian Bethancourt,9530.0,542194.0,bethach01,31758.0,10028,
221,,,,Chad Bettis,Chad,Bettis,P,Chad Bettis,9478.0,518452.0,bettich01,31718.0,10587,
223,,,,Joe Biagini,Joe,Biagini,P,Joe Biagini,10261.0,607352.0,biagijo01,34882.0,13194,
225,,,,Austin Bibens-Dirkx,Austin,Bibens-Dirkx,P,Austin Bibens-Dirkx,10695.0,502212.0,bibenau01,31344.0,9559,
227,,,,Jesse Biddle,Jesse,Biddle,P,Jesse Biddle,9608.0,592145.0,biddlje01,31762.0,11437,
228,,,,Shane Bieber,Shane,Bieber,P,Shane Bieber,10867.0,669456.0,biebesh01,40912.0,19427,
229,,,,Brandon Bielak,Brandon,Bielak,P,,,656232.0,bielabr01,41260.0,19866,
231,,,,Chad Billingsley,Chad,Billingsley,P,Chad Billingsley,7705.0,451532.0,billich01,6476.0,5842,
235,,,,Ty Blach,Ty,Blach,P,Ty Blach,10383.0,621389.0,blachty01,33138.0,14361,
237,,,,Clayton Blackburn,Clayton,Blackburn,P,Clayton Blackburn,9624.0,607185.0,blackcl01,32172.0,sa598302,
238,,,,Nick Blackburn,Nick,Blackburn,P,Nick Blackburn,8120.0,448147.0,blackni01,28889.0,4270,
239,,,,Paul Blackburn,Paul,Blackburn,P,Paul Blackburn,10756.0,621112.0,blackpa01,32776.0,14739,
240,,,,Ray Black,Ray,Black,P,Ray Black,10392.0,605143.0,blackra01,33656.0,14244,
241,,,,Travis Blackley,Travis,Blackley,P,Travis Blackley,7369.0,429715.0,blacktr01,6018.0,3234,
242,,,,Vic Black,Vic,Black,P,Vic Black,9469.0,502195.0,blackvi01,31764.0,9195,
243,,,,Aaron Blair,Aaron,Blair,P,Aaron Blair,9852.0,594760.0,blairaa01,33186.0,14934,
250,,,,Joe Blanton,Joe,Blanton,P,Joe Blanton,7461.0,430599.0,blantjo01,6132.0,4849,
253,,,,Richard Bleier,Richard,Bleier,P,Richard Bleier,10309.0,542947.0,bleieri01,33513.0,7803,
254,,,,Jerry Blevins,Jerry,Blevins,P,Jerry Blevins,8141.0,460283.0,blevije01,28915.0,7841,
258,,,,Mitchell Boggs,Mitchell,Boggs,P,Mitchell Boggs,8268.0,459939.0,boggsmi01,29152.0,3344,
261,,,,Mike Bolsinger,Mike,Bolsinger,P,Mike Bolsinger,9673.0,502211.0,bolsimi01,32737.0,11137,
262,,,,Jeremy Bonderman,Jeremy,Bonderman,P,Jeremy Bonderman,7106.0,425827.0,bondeje01,5436.0,1667,
