,Team Name,R_Stats,H_Stats,HR_Stats,RBI_Stats,SB_Stats,OPS_Stats,TB_Stats,ERA_Stats,WHIP_Stats,K9_Stats,QS_Stats,SVH_Stats,R_Rank_Stats,H_Rank_Stats,HR_Rank_Stats,RBI_Rank_Stats,SB_Rank_Stats,OPS_Rank_Stats,TB_Rank_Stats,ERA_Rank_Stats,WHIP_Rank_Stats,K9_Rank_Stats,QS_Rank_Stats,SVH_Rank_Stats,R_Record,H_Record,HR_Record,SB_Record,OPS_Record,RBI_Record,TB_Record,ERA_Record,WHIP_Record,K9_Record,QS_Record,SVH_Record,Rank,GB,Moves,R_Rank_Record,H_Rank_Record,HR_Rank_Record,SB_Rank_Record,OPS_Rank_Record,RBI_Rank_Record,TB_Rank_Record,ERA_Rank_Record,WHIP_Rank_Record,K9_Rank_Record,QS_Rank_Record,SVH_Rank_Record,Stats_Power_Score,Stats_Power_Rank,Variation
0,Hold The Line,558,920,165,525,86,0.772,800,3.75,1.22,10.91,26,93,7.0,11.0,5.0,6.0,1.0,9.0,2.0,10.0,10.0,1.0,10.5,8.0,"(3, 4, 10)","(5, 1, 11)","(9, 2, 6)","(11, 1, 5)","(8, 0, 9)","(10, 1, 6)","(14, 0, 3)","(10, 0, 7)","(6, 0, 11)","(12, 0, 5)","(2, 4, 11)","(6, 2, 9)",6,12.5,82,12.0,11.0,4.0,1.5,7.5,3.0,1.0,4.0,9.5,1.5,11.0,9.0,6.708333333333333,8.0,2.0
1,BallSachs,603,1022,155,560,75,0.789,883,4.02,1.22,10.88,22,86,2.0,2.0,8.0,4.0,4.0,4.0,6.0,12.0,10.0,2.0,12.0,9.0,"(10, 2, 5)","(12, 0, 5)","(7, 1, 9)","(11, 0, 6)","(7, 0, 10)","(6, 3, 8)","(5, 0, 12)","(4, 0, 13)","(4, 0, 13)","(8, 0, 9)","(5, 1, 11)","(5, 2, 10)",12,27.5,57,3.0,1.5,7.0,3.0,9.0,10.0,11.0,12.0,11.5,7.5,10.0,10.0,6.25,6.0,-6.0
2,Kershaw?2,597,991,147,489,64,0.7659999999999999,871,2.92,1.02,9.69,52,109,4.0,4.0,9.0,11.0,7.0,11.0,5.0,1.0,1.0,9.0,2.0,3.0,"(8, 2, 7)","(9, 0, 8)","(9, 0, 8)","(9, 2, 6)","(6, 0, 11)","(5, 3, 9)","(10, 0, 7)","(13, 0, 4)","(12, 0, 5)","(5, 0, 12)","(11, 3, 3)","(9, 3, 5)",2,3.5,86,5.0,5.5,5.0,5.0,10.5,11.0,5.0,1.0,1.0,11.5,1.0,4.0,5.583333333333333,3.0,1.0
3,Dookie Butts,531,887,171,551,39,0.8109999999999999,810,3.38,1.13,10.77,35,96,10.0,12.0,4.0,5.0,11.0,3.0,4.0,5.0,5.0,3.5,8.0,6.0,"(4, 2, 11)","(5, 1, 11)","(5, 2, 10)","(6, 1, 10)","(12, 0, 5)","(7, 1, 9)","(10, 1, 6)","(9, 0, 8)","(11, 0, 6)","(10, 0, 7)","(6, 4, 7)","(7, 4, 6)",7,16,34,10.5,11.0,11.0,8.0,1.5,7.5,4.0,5.5,2.5,3.5,7.5,7.0,6.375,7.0,0.0
4,Yelich My Balls,573,992,161,507,83,0.778,925,3.18,1.11,9.62,49,65,6.0,3.0,6.0,8.0,2.0,7.0,7.0,3.0,4.0,10.0,4.5,11.0,"(8, 1, 8)","(8, 0, 9)","(6, 1, 10)","(11, 1, 5)","(8, 0, 9)","(7, 1, 9)","(12, 0, 5)","(12, 0, 5)","(9, 0, 8)","(7, 0, 10)","(10, 4, 3)","(7, 2, 8)",5,6,61,6.0,8.0,8.0,1.5,7.5,7.5,2.0,2.5,7.5,9.5,2.0,8.0,5.958333333333333,5.0,0.0
5,Ian Cumsler,525,939,134,477,61,0.784,808,3.57,1.17,10.43,27,95,11.0,7.0,12.0,12.0,8.0,6.0,3.0,7.0,6.5,6.0,9.0,7.0,"(4, 2, 11)","(7, 1, 9)","(5, 2, 10)","(5, 2, 10)","(9, 0, 8)","(5, 1, 11)","(8, 0, 9)","(9, 0, 8)","(10, 0, 7)","(10, 0, 7)","(6, 4, 7)","(11, 0, 6)",9,21,28,10.5,9.0,11.0,11.0,5.5,12.0,6.0,5.5,5.0,3.5,7.5,3.0,7.875,11.0,2.0
6,SQUEEZE,542,955,135,492,78,0.754,1116,3.7,1.17,9.93,50,97,8.0,6.0,11.0,10.0,3.0,12.0,12.0,8.0,6.5,8.0,3.0,5.0,"(7, 5, 5)","(5, 1, 11)","(5, 2, 10)","(10, 1, 6)","(5, 0, 12)","(7, 0, 10)","(3, 2, 12)","(8, 0, 9)","(6, 0, 11)","(7, 0, 10)","(9, 3, 5)","(9, 1, 7)",11,27.5,58,7.0,11.0,11.0,4.0,12.0,9.0,12.0,7.0,9.5,9.5,5.0,5.5,7.708333333333333,9.0,-2.0
7,AGS,623,1024,192,601,58,0.84,1113,3.99,1.26,10.72,38,114,1.0,1.0,1.0,1.0,9.0,2.0,11.0,11.0,12.0,5.0,7.0,2.0,"(11, 1, 5)","(12, 0, 5)","(12, 1, 4)","(6, 3, 8)","(10, 0, 7)","(11, 1, 5)","(6, 1, 10)","(7, 0, 10)","(4, 0, 13)","(9, 0, 8)","(5, 4, 8)","(12, 0, 5)",4,5.5,51,2.0,1.5,2.0,7.0,3.5,1.5,10.0,8.5,11.5,5.5,9.0,2.0,5.25,2.0,-2.0
8,Midas Well,535,926,140,496,69,0.768,1025,3.21,1.09,9.37,56,82,9.0,10.0,10.0,9.0,5.0,10.0,10.0,4.0,3.0,12.0,1.0,10.0,"(7, 1, 9)","(10, 0, 7)","(6, 0, 11)","(7, 4, 6)","(6, 0, 11)","(8, 0, 9)","(7, 0, 10)","(12, 0, 5)","(10, 0, 7)","(5, 0, 12)","(9, 4, 4)","(4, 2, 11)",8,19.5,18,8.5,3.0,9.0,6.0,10.5,6.0,8.0,2.5,5.0,11.5,4.0,11.0,7.75,10.0,2.0
9,OGsecondHand,518,931,157,519,31,0.7759999999999999,1012,3.74,1.22,10.36,48,46,12.0,9.0,7.0,7.0,12.0,8.0,9.0,9.0,10.0,7.0,6.0,12.0,"(7, 1, 9)","(8, 1, 8)","(7, 3, 7)","(2, 4, 11)","(10, 0, 7)","(10, 0, 7)","(7, 0, 10)","(6, 0, 11)","(9, 0, 8)","(9, 0, 8)","(10, 1, 6)","(1, 2, 14)",10,24,50,8.5,7.0,6.0,12.0,3.5,4.0,8.0,10.0,7.5,5.5,3.0,12.0,9.0,12.0,2.0
