,Unnamed: 0,Round,Pick,Player,Team_x,Overall_Pick_x,Team_y,ESPNID,GP,AB,R,H,2B,3B,HR,RBI,BB,HBP,SO,SB,CS,AVG,OBP,SLG,OPS,WAR,Overall_Pick_y,BLSV,ER,ERA,GS,HLD,IP,K,K/BB,L,SV,W,W%,WHIP,OPS_Weighted,R_Rank,H_Rank,HR_Rank,RBI_Rank,SB_Rank,OPS_Rank,WAR_Rank,BLSV_Rank,ER_Rank,ERA_Rank,GS_Rank,HLD_Rank,IP_Rank,K_Rank,K/BB_Rank,L_Rank,SV_Rank,W_Rank,W%_Rank,WHIP_Rank,OPS_Weighted_Rank,Median_Power_Score,Median_Power_Rank,Median_Pick_Power,Median_Pick_Rank,Mean_Power_Score,Mean_Power_Rank,Mean_Pick_Power,Mean_Pick_Rank,Avg_Rank
0,0,1,1.0,Juan Soto,¯\_(ツ)_/¯,-10.0,,36969.0,101.0,342.0,62.0,84.0,17.0,1.0,21.0,46.0,91.0,3.0,62.0,6.0,2.0,0.246,0.408,0.485,0.894,3.9,,,,,,,,,,,,,,,305.748,35.5,119.5,25.5,91.5,88.5,20.5,21.0,,,,,,,,,,,,,,51.0,62.0,44.5,,,63.5,30.0,,,33.0
1,1,1,2.0,Rafael Devers,$LZ to $15 $...,-9.0,,33859.0,100.0,400.0,66.0,121.0,31.0,1.0,25.0,62.0,31.0,5.0,78.0,2.0,1.0,0.303,0.36,0.573,0.933,4.3,,,,,,,,,,,,,,,373.2,20.5,15.0,14.5,27.5,191.0,13.0,13.5,,,,,,,,,,,,,,11.0,17.75,9.0,,,46.916666666666664,16.0,,,12.5
2,2,1,3.0,Fernando Tatis Jr.,Hooked On Kw...,-8.0,,35983.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,860.0,865.0,827.0,853.5,786.5,863.5,716.5,,,,,,,,,,,,,,863.5,856.75,865.0,,,842.5833333333334,864.0,,,864.0
3,3,1,4.0,Trea Turner,The Rosterba...,-7.0,,33710.0,115.0,470.0,71.0,144.0,30.0,2.0,18.0,83.0,28.0,2.0,94.0,20.0,2.0,0.306,0.344,0.494,0.8370000000000001,3.8,,,,,,,,,,,,,,,393.39,12.5,1.0,38.0,5.0,9.0,41.0,25.5,,,,,,,,,,,,,,5.0,10.75,4.0,,,17.75,2.0,,,2.0
4,4,1,5.0,Vladimir Guerrero Jr.,#LagrastaWeek,-6.0,,35002.0,114.0,441.0,66.0,126.0,24.0,0.0,25.0,72.0,45.0,5.0,83.0,4.0,1.0,0.286,0.356,0.51,0.866,3.9,,,,,,,,,,,,,,,381.906,20.5,10.0,14.5,16.5,127.0,31.0,21.0,,,,,,,,,,,,,,7.0,18.5,10.0,,,36.583333333333336,10.0,,,8.0
5,5,1,6.0,Manny Machado,Grand Salami...,-5.0,,31097.0,108.0,415.0,75.0,126.0,29.0,1.0,21.0,73.0,47.0,1.0,92.0,7.0,1.0,0.304,0.374,0.53,0.904,5.0,,,,,,,,,,,,,,,375.16,5.5,10.0,25.5,13.5,70.0,18.0,4.5,,,,,,,,,,,,,,10.0,15.75,7.0,,,23.75,6.0,,,5.0
6,6,1,7.0,Corbin Burnes,Rickie Flower,-4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,7,1,8.0,Kyle Tucker,Ian Cumsler,-3.0,,34967.0,108.0,384.0,50.0,96.0,18.0,1.0,21.0,77.0,50.0,0.0,69.0,18.0,2.0,0.25,0.335,0.466,0.8009999999999999,4.2,,,,,,,,,,,,,,,307.58399999999995,84.5,74.5,25.5,9.0,11.0,72.0,15.5,,,,,,,,,,,,,,49.0,48.75,30.0,,,46.083333333333336,15.0,,,21.0
8,8,1,9.0,Luis Robert,Former 2A Hi...,-2.0,,39631.0,82.0,335.0,51.0,101.0,15.0,0.0,12.0,56.0,15.0,3.0,65.0,11.0,3.0,0.301,0.336,0.4539999999999999,0.79,2.6,,,,,,,,,,,,,,,264.65000000000003,75.5,61.0,94.5,52.0,36.5,86.5,63.5,,,,,,,,,,,,,,98.0,68.25,51.0,,,67.66666666666667,34.0,,,38.0
9,9,1,10.0,José Ramírez,Midas Well,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,10,1,11.0,Bo Bichette,SQUEEZE AGS,0.0,,38904.0,113.0,464.0,62.0,120.0,27.0,0.0,17.0,64.0,28.0,0.0,121.0,7.0,7.0,0.259,0.3,0.427,0.726,1.3,,,,,,,,,,,,,,,336.864,35.5,17.5,43.5,25.5,70.0,161.5,136.5,,,,,,,,,,,,,,23.0,39.5,25.0,,,58.916666666666664,25.0,,,23.5
