_id,index,Team Name,R_Stats,H_Stats,HR_Stats,RBI_Stats,SB_Stats,OPS_Stats,HRA_Stats,ERA_Stats,WHIP_Stats,K9_Stats,QS_Stats,SVH_Stats,R_Rank_Stats,H_Rank_Stats,HR_Rank_Stats,RBI_Rank_Stats,SB_Rank_Stats,OPS_Rank_Stats,HRA_Rank_Stats,ERA_Rank_Stats,WHIP_Rank_Stats,K9_Rank_Stats,QS_Rank_Stats,SVH_Rank_Stats,R_Record,H_Record,HR_Record,SB_Record,OPS_Record,RBI_Record,HRA_Record,ERA_Record,WHIP_Record,K9_Record,QS_Record,SVH_Record,Rank,GB,Moves,R_Rank_Record,H_Rank_Record,HR_Rank_Record,SB_Rank_Record,OPS_Rank_Record,RBI_Rank_Record,HRA_Rank_Record,ERA_Rank_Record,WHIP_Rank_Record,K9_Rank_Record,QS_Rank_Record,SVH_Rank_Record,Stats_Power_Score,Stats_Power_Rank,Week,Variation,Team_Number
64362ef86ec0e425a41c9b39,4,[Z-Ro] One Two,51,102,20,54,8,0.887,9,4.3,1.29,9.68,6,2,5.0,3.0,1.0,3.0,7.0,2.0,9.0,9.0,8.0,7.0,1.5,12.0,"[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]",6,3.5,2,3.5,3.5,3.5,10.0,3.5,3.5,6.5,9.5,9.5,9.5,3.5,9.5,5.625,3.0,1,-3.0,5
64362ef86ec0e425a41c9b3a,5,The Slobberknockers,39,81,7,35,12,0.731,4,2.39,0.97,11.11,4,9,12.0,9.5,12.0,11.0,1.5,9.0,2.5,2.0,1.0,2.0,5.5,5.5,"[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]",2,1,22,9.5,3.5,9.5,3.0,9.5,3.5,2.5,3.5,3.5,3.5,3.5,3.5,6.125,6.0,1,4.0,6
64362ef86ec0e425a41c9b35,0,Blackout Rage Gallen,59,88,12,52,4,0.805,5,3.51,1.21,12.23,3,9,1.0,5.0,5.5,4.0,10.0,5.0,4.5,6.0,4.0,1.0,8.0,5.5,"[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[0, 1, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]",4,2,5,3.5,3.5,3.5,6.5,3.5,3.5,6.5,9.5,3.5,3.5,9.5,9.5,4.958333333333333,2.0,1,-2.0,1
64362ef86ec0e425a41c9b40,11,¯\_(ツ)_/¯,44,83,9,39,4,0.688,5,2.62,1.25,10.75,5,10,10.5,8.0,10.0,9.0,10.0,12.0,4.5,3.0,6.0,3.0,3.0,4.0,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 1, 0]","[0, 0, 1]","[0, 0, 1]","[0, 1, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]",9,6,16,9.5,9.5,9.5,6.5,9.5,9.5,6.5,3.5,9.5,9.5,3.5,3.5,6.916666666666667,9.0,1,0.0,12
64362ef86ec0e425a41c9b37,2,Vinnie Pepperonis,48,73,10,34,6,0.732,10,5.06,1.52,8.59,2,8,7.0,12.0,9.0,12.0,8.0,8.0,11.5,11.0,11.0,11.0,9.5,7.5,"[1, 0, 0]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]",10,7,5,3.5,9.5,3.5,10.0,3.5,9.5,10.5,9.5,9.5,9.5,9.5,9.5,9.791666666666666,12.0,1,2.0,3
64362ef86ec0e425a41c9b3b,6,Ian Cumsler,52,110,15,60,12,0.94,4,3.94,1.27,9.38,2,4,4.0,1.0,2.0,1.0,1.5,1.0,2.5,8.0,7.0,8.0,9.5,10.0,"[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]",1,-,7,9.5,3.5,3.5,3.0,3.5,3.5,2.5,3.5,3.5,3.5,3.5,9.5,4.625,1.0,1,0.0,7
64362ef86ec0e425a41c9b3c,7,SHITTING IN BRYANT’S MOUTH,55,85,11,43,11,0.797,9,6.55,1.53,9.33,1,11,3.0,7.0,7.5,7.0,3.0,6.0,9.0,12.0,12.0,9.0,11.5,2.5,"[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]",12,8,4,3.5,9.5,9.5,10.0,9.5,9.5,10.5,9.5,9.5,9.5,9.5,3.5,7.458333333333333,10.0,1,-2.0,8
64362ef86ec0e425a41c9b3d,8,Camp Lejeune,57,104,12,49,1,0.859,7,3.52,1.3,10.57,1,13,2.0,2.0,5.5,5.0,12.0,3.0,7.0,7.0,9.0,4.0,11.5,1.0,"[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]",3,1,11,3.5,3.5,9.5,10.0,3.5,3.5,2.5,3.5,3.5,3.5,9.5,3.5,5.75,5.0,1,2.0,9
64362ef86ec0e425a41c9b3e,9,The Rosterbation Station,46,81,11,39,9,0.791,9,3.18,1.15,9.85,4,8,8.5,9.5,7.5,9.0,5.5,7.0,9.0,4.0,2.0,6.0,5.5,7.5,"[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[0, 1, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]",7,4.5,7,9.5,9.5,9.5,3.0,9.5,9.5,6.5,3.5,3.5,3.5,9.5,3.5,6.75,8.0,1,1.0,10
64362ef86ec0e425a41c9b36,1,Moniebol 🐳 (132 Ws remaining),44,86,13,55,4,0.729,0,2.18,1.23,10.4,4,5,10.5,6.0,3.5,2.0,10.0,10.0,1.0,1.0,5.0,5.0,5.5,9.0,"[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]",5,2,11,9.5,3.5,3.5,10.0,3.5,3.5,2.5,3.5,9.5,3.5,9.5,3.5,5.708333333333333,4.0,1,-1.0,2
64362ef86ec0e425a41c9b38,3,Oneil Cruz's Brother,50,90,13,48,10,0.808,10,4.66,1.35,8.76,4,11,6.0,4.0,3.5,6.0,4.0,4.0,11.5,10.0,10.0,10.0,5.5,2.5,"[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]",11,7,11,9.5,9.5,3.5,3.0,9.5,9.5,10.5,9.5,9.5,9.5,3.5,9.5,6.416666666666667,7.0,1,-4.0,4
64362ef86ec0e425a41c9b3f,10,ACES 4 DAAAAAAAAAAAYS,46,78,8,39,9,0.711,6,3.25,1.2,8.02,6,3,8.5,11.0,11.0,9.0,5.5,11.0,6.0,5.0,3.0,12.0,1.5,11.0,"[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]","[1, 0, 0]","[0, 0, 1]",8,6,12,3.5,9.5,9.5,3.0,9.5,9.5,10.5,9.5,3.5,9.5,3.5,9.5,7.875,11.0,1,3.0,11
64441264806d62d30afc81cd,3,BREATHE BABY BREATHE,76,142,20,72,14,0.762,12,4.3,1.32,9.03,7,17,9.0,7.5,6.5,8.0,6.0,8.0,8.0,10.0,9.0,9.0,6.5,3.0,"[0, 0, 2]","[0, 0, 2]","[1, 0, 1]","[1, 0, 1]","[0, 0, 2]","[0, 0, 2]","[1, 0, 1]","[0, 0, 2]","[0, 0, 2]","[0, 0, 2]","[1, 0, 1]","[0, 1, 1]",12,14,14,10.5,11.0,6.5,6.5,10.5,11.0,7.0,10.5,11.0,10.5,6.0,9.0,7.541666666666667,8.5,2,-3.5,4,Bryant
64441264806d62d30afc81cf,5,The Slobberknockers,68,133,12,59,20,0.687,7,2.16,1.04,10.38,10,14,11.0,10.5,11.0,12.0,1.5,12.0,3.0,2.0,2.0,4.0,1.5,5.0,"[0, 0, 2]","[1, 0, 1]","[0, 0, 2]","[2, 0, 0]","[0, 0, 2]","[1, 0, 1]","[1, 1, 0]","[2, 0, 0]","[2, 0, 0]","[2, 0, 0]","[2, 0, 0]","[1, 0, 1]",5,4,35,10.5,6.5,11.0,2.0,10.5,6.5,2.5,2.5,2.0,2.5,1.5,6.5,6.291666666666667,6.0,2,1.0,6,Josh
64441264806d62d30afc81d1,7,SHITTING IN BRYANT’S MOUTH,81,143,16,67,16,0.774,16,5.27,1.34,10.36,3,20,8.0,5.0,9.5,10.0,4.0,7.0,11.0,12.0,10.0,5.0,12.0,2.0,"[1, 0, 1]","[0, 0, 2]","[0, 0, 2]","[1, 0, 1]","[0, 0, 2]","[0, 0, 2]","[0, 0, 2]","[1, 0, 1]","[1, 0, 1]","[1, 0, 1]","[0, 1, 1]","[2, 0, 0]",11,11,10,6.5,11.0,11.0,6.5,10.5,11.0,12.0,6.5,6.5,6.5,10.5,2.0,7.958333333333333,10.0,2,-1.0,8,David
64441264806d62d30afc81d3,9,The Rosterbation Station,90,151,20,76,19,0.85,15,2.98,1.06,10.61,6,16,3.5,4.0,6.5,5.5,3.0,5.0,9.5,5.0,3.0,3.0,8.0,4.0,"[1, 0, 1]","[1, 0, 1]","[1, 0, 1]","[2, 0, 0]","[1, 0, 1]","[1, 0, 1]","[1, 1, 0]","[2, 0, 0]","[2, 0, 0]","[2, 0, 0]","[1, 0, 1]","[2, 0, 0]",2,1,10,6.5,6.5,6.5,2.0,6.5,6.5,2.5,2.5,2.0,2.5,6.0,2.0,5.0,3.0,2,1.0,10,Kevin
64441264806d62d30afc81ca,0,Blackout Rage Gallen!,92,142,20,76,12,0.792,6,2.76,1.12,11.73,9,13,2.0,7.5,6.5,5.5,8.0,6.0,2.0,3.0,4.0,1.0,3.5,6.0,"[1, 0, 1]","[1, 0, 1]","[1, 0, 1]","[1, 1, 0]","[1, 0, 1]","[1, 0, 1]","[1, 1, 0]","[1, 0, 1]","[2, 0, 0]","[2, 0, 0]","[1, 0, 1]","[1, 0, 1]",4,3.5,5,6.5,6.5,6.5,4.0,6.5,6.5,2.5,6.5,2.0,2.5,6.0,6.5,4.583333333333333,1.0,2,-3.0,1,Taylor
64441264806d62d30afc81cc,2,Vinnie Pepperonis,95,142,29,88,9,0.861,15,5.13,1.52,8.92,4,11,1.0,7.5,2.0,4.0,10.0,4.0,9.5,11.0,12.0,10.0,10.5,9.0,"[2, 0, 0]","[1, 0, 1]","[2, 0, 0]","[0, 0, 2]","[2, 0, 0]","[1, 0, 1]","[1, 0, 1]","[0, 0, 2]","[0, 0, 2]","[0, 0, 2]","[0, 1, 1]","[0, 0, 2]",9,9,10,2.5,6.5,2.0,11.0,2.5,6.5,7.0,10.5,11.0,10.5,10.5,11.0,7.541666666666667,8.5,2,-0.5,3,Kurtis
64441264806d62d30afc81d0,6,Ian Cumsler,86,168,20,93,20,0.895,8,3.32,1.3,8.85,5,6,6.0,1.0,6.5,2.0,1.5,2.0,4.0,6.0,8.0,11.0,9.0,11.0,"[0, 0, 2]","[1, 0, 1]","[1, 0, 1]","[1, 0, 1]","[1, 0, 1]","[1, 0, 1]","[1, 0, 1]","[1, 0, 1]","[1, 0, 1]","[1, 0, 1]","[1, 0, 1]","[0, 0, 2]",8,8.5,7,10.5,6.5,6.5,6.5,6.5,6.5,7.0,6.5,6.5,6.5,6.0,11.0,5.666666666666667,4.0,2,-4.0,7,Eric
64441264806d62d30afc81d4,10,AGS,74,133,11,71,15,0.707,9,3.56,1.24,8.69,9,11,10.0,10.5,12.0,9.0,5.0,10.0,5.0,7.0,5.5,12.0,3.5,9.0,"[2, 0, 0]","[1, 0, 1]","[0, 0, 2]","[2, 0, 0]","[0, 0, 2]","[1, 0, 1]","[1, 0, 1]","[0, 0, 2]","[1, 0, 1]","[0, 0, 2]","[2, 0, 0]","[1, 0, 1]",7,7.5,19,2.5,6.5,11.0,2.0,10.5,6.5,7.0,10.5,6.5,10.5,1.5,6.5,8.208333333333334,12.0,2,5.0,11,Mikey
64441264806d62d30afc81cb,1,Moniebol 🐳 (122 Ws remaining),85,142,28,108,10,0.756,4,2.06,0.97,10.23,8,11,7.0,7.5,3.0,1.0,9.0,9.0,1.0,1.0,1.0,6.0,5.0,9.0,"[1, 0, 1]","[2, 0, 0]","[2, 0, 0]","[1, 0, 1]","[2, 0, 0]","[2, 0, 0]","[1, 0, 1]","[2, 0, 0]","[1, 0, 1]","[2, 0, 0]","[1, 0, 1]","[1, 1, 0]",1,-,18,6.5,2.0,2.0,6.5,2.5,2.0,7.0,2.5,6.5,2.5,6.0,4.0,4.958333333333333,2.0,2,1.0,2,Austin
64441264806d62d30afc81ce,4,Mo City Don,89,163,34,89,13,0.925,18,4.09,1.28,10.04,10,2,5.0,3.0,1.0,3.0,7.0,1.0,12.0,9.0,7.0,7.0,1.5,12.0,"[2, 0, 0]","[2, 0, 0]","[2, 0, 0]","[0, 0, 2]","[2, 0, 0]","[2, 0, 0]","[0, 1, 1]","[0, 0, 2]","[0, 0, 2]","[0, 0, 2]","[1, 0, 1]","[0, 0, 2]",6,7,4,2.5,2.0,2.0,11.0,2.5,2.0,10.5,10.5,11.0,10.5,6.0,11.0,5.708333333333333,5.0,2,-1.0,5,Greg
64441264806d62d30afc81d2,8,Camp Lejeune,90,167,21,75,5,0.867,10,3.74,1.39,9.76,4,23,3.5,2.0,4.0,7.0,12.0,3.0,6.5,8.0,11.0,8.0,10.5,1.0,"[2, 0, 0]","[2, 0, 0]","[1, 0, 1]","[0, 0, 2]","[2, 0, 0]","[2, 0, 0]","[1, 1, 0]","[1, 0, 1]","[1, 0, 1]","[1, 0, 1]","[0, 0, 2]","[2, 0, 0]",3,3,20,2.5,2.0,6.5,11.0,2.5,2.0,2.5,6.5,6.5,6.5,12.0,2.0,6.375,7.0,2,4.0,9,Jamie
